file_name	 matching_sequences	 total_sequences	 percentage
ERR6454461.fasta	33108	90324	36.65
ERR6454462.fasta	18425	34521	53.37
ERR6454463.fasta	8646	37608	22.99
ERR6454464.fasta	47963	146077	32.83
ERR6454465.fasta	93613	181935	51.45
ERR6454466.fasta	27001	66835	40.40
ERR6454467.fasta	34890	67914	51.37
ERR6454468.fasta	141010	211463	66.68
ERR6454469.fasta	136214	153416	88.79
ERR6454470.fasta	114990	195751	58.74
ERR6454471.fasta	33169	85793	38.66
ERR6454472.fasta	20166	31645	63.73
ERR6454473.fasta	81516	117853	69.17
ERR6454474.fasta	29019	70143	41.37
ERR6454475.fasta	29050	92188	31.51
ERR6454476.fasta	45074	124518	36.20
ERR6454477.fasta	37278	127673	29.20
ERR6454478.fasta	15359	29186	52.62
