file_name	 matching_sequences	 total_sequences	 percentage
ERR6454461.fasta	36277	95437	38.01
ERR6454462.fasta	21417	37713	56.79
ERR6454463.fasta	11381	41785	27.24
ERR6454464.fasta	52838	152664	34.61
ERR6454465.fasta	104804	198022	52.93
ERR6454466.fasta	28887	69443	41.60
ERR6454467.fasta	39449	75879	51.99
ERR6454468.fasta	153802	226640	67.86
ERR6454469.fasta	154310	171544	89.95
ERR6454470.fasta	140212	261052	53.71
ERR6454471.fasta	35685	89036	40.08
ERR6454472.fasta	24989	36798	67.91
ERR6454473.fasta	89590	127978	70.00
ERR6454474.fasta	35446	77890	45.51
ERR6454475.fasta	40114	113328	35.40
ERR6454476.fasta	56625	138028	41.02
ERR6454477.fasta	39860	140414	28.39
ERR6454478.fasta	20739	35245	58.84
