File	Generated Chimeras	Detected Chimeras	Proportion Detected	True Positives	False Positives	True Negatives	False Negatives	Sensitivity	Specificity
chimeric_--abskew_1.8.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--abskew_1.6.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--xn_7.0.fasta	793	520	0.6557377049180327	520	0	44470	273	0.6557377049180327	1.0
chimeric_--minh_0.1.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--mindiv_0.7.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
chimeric_--minh_0.2.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--mindiffs_2.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--mindiv_0.9.fasta	793	519	0.6544766708701135	519	0	44470	274	0.6544766708701135	1.0
chimeric_--xn_9.0.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--dn_1.4.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--mindiv_0.6.fasta	793	531	0.669609079445145	531	0	44470	262	0.669609079445145	1.0
chimeric_--dn_1.7.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--xn_8.0.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--mindiv_0.8.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--abskew_1.5.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--dn_1.6.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--abskew_1.4.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--abskew_1.9.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--abskew_1.7.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--minh_0.28.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--abskew_2.0.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--xn_6.0.fasta	793	520	0.6557377049180327	520	0	44470	273	0.6557377049180327	1.0
chimeric_--dn_1.8.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--mindiffs_3.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--mindiffs_1.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
chimeric_--dn_1.5.fasta	793	521	0.6569987389659521	521	0	44470	272	0.6569987389659521	1.0
