chimera_id	seq1_id	seq1_file	seq2_id	seq2_file	breakpoints	reversed	ratio	length
chimera_m124805/1396/CCS|F_and_m377314/331/CCS|F_at_207_reversed_no_0	m124805/1396/CCS|F	Umbelopsis_isabellina_1.full_and_partial.fasta	m377314/331/CCS|F	Cantharellula.full_and_partial.fasta	207	no	0.034152134763500444	331
chimera_m290053/1860/CCS|F_and_m263291/345/CCS|F_at_324_reversed_no_1	m290053/1860/CCS|F	Umbelopsis_isabellina_1.full_and_partial.fasta	m263291/345/CCS|F	Stropharia.full_and_partial.fasta	324	no	0.017928472047736954	345
chimera_m60562/649/CCS|F_and_m213201/321/CCS|F_at_35_reversed_no_2	m60562/649/CCS|F	Umbelopsis_isabellina_1.full_and_partial.fasta	m213201/321/CCS|F	Cystobasidium_psychroaquaticum_1.full_and_partial.fasta	35	no	0.015983031130195877	321
chimera_m150606/1385/CCS|F_and_m271567/356/CCS|F_at_273_reversed_yes_0	m150606/1385/CCS|F	Amauroascus.full_and_partial.fasta	m271567/356/CCS|F	Gjaerumia.full_and_partial.fasta	273	yes	0.00664346730400571	356
chimera_m45160/1325/CCS|F_and_m210961/358/CCS|F_at_77_reversed_no_1	m45160/1325/CCS|F	Amauroascus.full_and_partial.fasta	m210961/358/CCS|F	Fayodia.full_and_partial.fasta	77	no	0.08263388226203466	358
chimera_m398610/1515/CCS|F_and_m35665/1055/CCS|F_at_275_reversed_yes_0	m398610/1515/CCS|F	Arthrinium.full_and_partial.fasta	m35665/1055/CCS|F	Cystobasidium_psychroaquaticum_1.full_and_partial.fasta	275	yes	0.06539945970613943	349
chimera_m266253/1332/CCS|F_and_m30623/343/CCS|F_at_156_reversed_no_1	m266253/1332/CCS|F	Arthrinium.full_and_partial.fasta	m30623/343/CCS|F	Gomphidius.full_and_partial.fasta	156	no	0.040814622572564456	343
chimera_m341184/1999/CCS|F_and_m8941/312/CCS|F_at_15_reversed_no_2	m341184/1999/CCS|F	Arthrinium.full_and_partial.fasta	m8941/312/CCS|F	Absidia.full_and_partial.fasta	15	no	0.007117250867836905	312
chimera_m335567/990/CCS|F_and_m139861/336/CCS|F_at_59_reversed_no_3	m335567/990/CCS|F	Arthrinium.full_and_partial.fasta	m139861/336/CCS|F	Naganishia_diffluens_1.full_and_partial.fasta	59	no	0.07437963922588822	336
chimera_m207054/637/CCS|F_and_m324588/344/CCS|F_at_106_reversed_no_4	m207054/637/CCS|F	Arthrinium.full_and_partial.fasta	m324588/344/CCS|F	Cladophialophora.full_and_partial.fasta	106	no	0.08155002519021147	344
