File	Generated Chimeras	Detected Chimeras	Proportion Detected	True Positives	False Positives	True Negatives	False Negatives	Sensitivity	Specificity
output_--abskew_8.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--xn_8.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--mindiffs_1.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--abskew_12.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--xn_6.0.fasta	793	524	0.6607818411097099	524	0	44470	269	0.6607818411097099	1.0
output_--dn_1.4.fasta	793	524	0.6607818411097099	524	0	44470	269	0.6607818411097099	1.0
output_--minh_0.1.fasta	793	526	0.6633039092055486	526	1	44469	267	0.6633039092055486	0.9999775129300652
output_--mindiffs_3.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--abskew_16.0.fasta	793	523	0.6595208070617906	523	0	44470	270	0.6595208070617906	1.0
output_--dn_1.6.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--mindiffs_2.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--minh_0.2.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--abskew_6.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--xn_9.0.fasta	793	524	0.6607818411097099	524	0	44470	269	0.6607818411097099	1.0
output_--abskew_10.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--xn_7.0.fasta	793	524	0.6607818411097099	524	0	44470	269	0.6607818411097099	1.0
output_--dn_1.5.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--abskew_4.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--dn_1.8.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--abskew_2.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--dn_1.7.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--abskew_14.0.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
output_--minh_0.28.fasta	793	525	0.6620428751576293	525	0	44470	268	0.6620428751576293	1.0
