file_name	 matching_sequences	 total_sequences	 percentage
ERR6454461.fasta	36146	94814	38.12
ERR6454462.fasta	21311	37454	56.90
ERR6454463.fasta	11369	41634	27.31
ERR6454464.fasta	52322	151461	34.54
ERR6454465.fasta	104748	197631	53.00
ERR6454466.fasta	28812	69010	41.75
ERR6454467.fasta	39256	75563	51.95
ERR6454468.fasta	152800	225089	67.88
ERR6454469.fasta	153346	170277	90.06
ERR6454470.fasta	137143	257065	53.35
ERR6454471.fasta	34774	87417	39.78
ERR6454472.fasta	24650	36264	67.97
ERR6454473.fasta	83395	121353	68.72
ERR6454474.fasta	35295	77556	45.51
ERR6454475.fasta	39747	112109	35.45
ERR6454476.fasta	56178	136152	41.26
ERR6454477.fasta	39311	139095	28.26
ERR6454478.fasta	20724	35030	59.16
