chimera_id	seq1_id	seq1_file	seq2_id	seq2_file	breakpoints	reversed	ratio	length
chimera_m224933/1613/CCS|F_and_m107817/305/CCS|F_at_189_reversed_yes_0	m224933/1613/CCS|F	Umbelopsis_isabellina_1.full_and_partial.fasta	m107817/305/CCS|F	Hypholoma.full_and_partial.fasta	189	yes	0.00935612871384646	305
chimera_m31495/976/CCS|F_and_m116169/337/CCS|F_at_224_reversed_no_1	m31495/976/CCS|F	Umbelopsis_isabellina_1.full_and_partial.fasta	m116169/337/CCS|F	Phlebia.full_and_partial.fasta	224	no	0.009780878120705896	337
chimera_m151290/1571/CCS|F_and_m210097/347/CCS|F_at_115_reversed_no_2	m151290/1571/CCS|F	Umbelopsis_isabellina_1.full_and_partial.fasta	m210097/347/CCS|F	Amanita.full_and_partial.fasta	115	no	0.041203050588798265	347
chimera_m86064/1086/CCS|F_and_m194978/343/CCS|F_at_67_reversed_no_0	m86064/1086/CCS|F	Amauroascus.full_and_partial.fasta	m194978/343/CCS|F	Cylindrobasidium.full_and_partial.fasta	67	no	0.012671255844332832	343
chimera_m71324/1800/CCS|F_and_m20684/340/CCS|F_at_276_reversed_no_1	m71324/1800/CCS|F	Amauroascus.full_and_partial.fasta	m20684/340/CCS|F	Hypholoma.full_and_partial.fasta	276	no	0.050608112304433246	340
chimera_m265703/1266/CCS|F_and_m206074/343/CCS|F_at_251_reversed_no_0	m265703/1266/CCS|F	Arthrinium.full_and_partial.fasta	m206074/343/CCS|F	Ochroconis.full_and_partial.fasta	251	no	0.06093910743698607	343
chimera_m291223/1120/CCS|F_and_m38100/341/CCS|F_at_112_reversed_no_1	m291223/1120/CCS|F	Arthrinium.full_and_partial.fasta	m38100/341/CCS|F	Cyberlindnera.full_and_partial.fasta	112	no	0.014717051240713486	341
chimera_m44239/1185/CCS|F_and_m276217/340/CCS|F_at_202_reversed_no_2	m44239/1185/CCS|F	Arthrinium.full_and_partial.fasta	m276217/340/CCS|F	Sphagnurus.full_and_partial.fasta	202	no	0.003325189894101299	340
chimera_m347463/557/CCS|F_and_m182017/1504/CCS|F_at_248_reversed_no_3	m347463/557/CCS|F	Arthrinium.full_and_partial.fasta	m182017/1504/CCS|F	Olpidium.full_and_partial.fasta	248	no	0.08497790646568072	339
chimera_m362078/1385/CCS|F_and_m288800/332/CCS|F_at_109_reversed_no_4	m362078/1385/CCS|F	Arthrinium.full_and_partial.fasta	m288800/332/CCS|F	Suillus.full_and_partial.fasta	109	no	0.034237345765660246	332
chimera_m278042/1042/CCS|F_and_m27059/942/CCS|T_at_63_reversed_no_5	m278042/1042/CCS|F	Arthrinium.full_and_partial.fasta	m27059/942/CCS|T	Cenococcum.full_and_partial.fasta	63	no	0.0637596117373645	349
chimera_m60635/1932/CCS|F_and_m8941/312/CCS|F_at_124_reversed_no_6	m60635/1932/CCS|F	Arthrinium.full_and_partial.fasta	m8941/312/CCS|F	Absidia.full_and_partial.fasta	124	no	0.007593252859313074	312
chimera_m181307/1255/CCS|F_and_m413031/359/CCS|F_at_278_reversed_no_7	m181307/1255/CCS|F	Arthrinium.full_and_partial.fasta	m413031/359/CCS|F	Venturia.full_and_partial.fasta	278	no	0.009170624681530251	359
chimera_m78193/1746/CCS|F_and_m177891/825/CCS|F_at_199_reversed_no_0	m78193/1746/CCS|F	Boletus.full_and_partial.fasta	m177891/825/CCS|F	Exophiala.full_and_partial.fasta	199	no	0.04622785819162598	407
chimera_m256262/2111/CCS|F_and_m234804/1297/CCS|F_at_227_reversed_no_1	m256262/2111/CCS|F	Boletus.full_and_partial.fasta	m234804/1297/CCS|F	Hydnellum.full_and_partial.fasta	227	no	0.07653256781040062	443
chimera_m336954/1262/CCS|F_and_m82362/603/CCS|F_at_179_reversed_no_2	m336954/1262/CCS|F	Boletus.full_and_partial.fasta	m82362/603/CCS|F	Pseudoplectania_nigrella_1.full_and_partial.fasta	179	no	0.046893306526723605	426
chimera_m355618/1265/CCS|F_and_m34286/1317/CCS|F_at_135_reversed_no_3	m355618/1265/CCS|F	Boletus.full_and_partial.fasta	m34286/1317/CCS|F	Phallus.full_and_partial.fasta	135	no	0.07735754209670025	364
chimera_m191467/616/CCS|F_and_m151205/720/CCS|F_at_162_reversed_yes_0	m191467/616/CCS|F	Gymnopus_perforans_1.full_and_partial.fasta	m151205/720/CCS|F	Exophiala_pisciphila_1.full_and_partial.fasta	162	yes	0.06105548292988689	409
chimera_m230167/1083/CCS|F_and_m238023/394/CCS|F_at_313_reversed_no_1	m230167/1083/CCS|F	Gymnopus_perforans_1.full_and_partial.fasta	m238023/394/CCS|F	Gymnopus_dryophilus_1.full_and_partial.fasta	313	no	0.021512889324408202	394
chimera_m8942/784/CCS|F_and_m137780/850/CCS|F_at_142_reversed_no_2	m8942/784/CCS|F	Gymnopus_perforans_1.full_and_partial.fasta	m137780/850/CCS|F	Baltazaria.full_and_partial.fasta	142	no	0.04721455178646339	434
chimera_m60514/1349/CCS|F_and_m157485/604/CCS|F_at_184_reversed_no_3	m60514/1349/CCS|F	Gymnopus_perforans_1.full_and_partial.fasta	m157485/604/CCS|F	Naganishia_vaughanmartiniae_1.full_and_partial.fasta	184	no	0.05287023899558355	378
chimera_m7938/970/CCS|F_and_m17637/1231/CCS|F_at_254_reversed_yes_0	m7938/970/CCS|F	Ochroconis.full_and_partial.fasta	m17637/1231/CCS|F	Peniophora_lycii_1.full_and_partial.fasta	254	yes	0.09582279567369806	405
chimera_m113460/1187/CCS|F_and_m154008/908/CCS|F_at_127_reversed_no_1	m113460/1187/CCS|F	Ochroconis.full_and_partial.fasta	m154008/908/CCS|F	Mrakia.full_and_partial.fasta	127	no	0.04229969033668119	388
chimera_m283566/1779/CCS|F_and_m52034/1160/CCS|F_at_269_reversed_no_2	m283566/1779/CCS|F	Ochroconis.full_and_partial.fasta	m52034/1160/CCS|F	Exobasidium.full_and_partial.fasta	269	no	0.08426629109886777	366
chimera_m331747/719/CCS|F_and_m91652/1141/CCS|F_at_129_reversed_no_0	m331747/719/CCS|F	Trech_stell.full_and_partial.fasta	m91652/1141/CCS|F	Resinicium.full_and_partial.fasta	129	no	0.03898367984693617	374
chimera_m36181/1794/CCS|F_and_m282219/487/CCS|F_at_92_reversed_no_1	m36181/1794/CCS|F	Trech_stell.full_and_partial.fasta	m282219/487/CCS|F	Arcticomyces.full_and_partial.fasta	92	no	0.05494998564934929	355
chimera_m71836/954/CCS|F_and_m250108/346/CCS|F_at_107_reversed_no_2	m71836/954/CCS|F	Trech_stell.full_and_partial.fasta	m250108/346/CCS|F	Ustilago_filiformis_1.full_and_partial.fasta	107	no	0.04625597022287246	346
chimera_m156408/520/CCS|F_and_m116169/337/CCS|F_at_76_reversed_no_3	m156408/520/CCS|F	Trech_stell.full_and_partial.fasta	m116169/337/CCS|F	Phlebia.full_and_partial.fasta	76	no	0.05282850185206967	337
chimera_m52679/1178/CCS|F_and_m286037/371/CCS|F_at_71_reversed_no_4	m52679/1178/CCS|F	Trech_stell.full_and_partial.fasta	m286037/371/CCS|F	Peniophora_nuda_1.full_and_partial.fasta	71	no	0.038598349565701615	371
