file_name	 matching_sequences	 total_sequences	 percentage
ERR6454461.fasta	26805	76416	35.08
ERR6454462.fasta	16097	30836	52.20
ERR6454463.fasta	6953	30626	22.70
ERR6454464.fasta	40009	122731	32.60
ERR6454465.fasta	74896	152072	49.25
ERR6454466.fasta	22998	58213	39.51
ERR6454467.fasta	28835	57748	49.93
ERR6454468.fasta	121190	184973	65.52
ERR6454469.fasta	115258	131421	87.70
ERR6454470.fasta	86747	155753	55.70
ERR6454471.fasta	29435	78488	37.50
ERR6454472.fasta	17678	28373	62.31
ERR6454473.fasta	66428	97709	67.99
ERR6454474.fasta	24987	62044	40.27
ERR6454475.fasta	25758	80153	32.14
ERR6454476.fasta	37715	108665	34.71
ERR6454477.fasta	31600	110725	28.54
ERR6454478.fasta	12242	23815	51.40
